community,month,monthlyav,year,Sani_Q,av_II_Q,FY,desc,actual,max_MGD,max_II_Q
Boston,Feb,93.13333333333333,16-18,58.5,34.633333333333326,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
Boston,Jan,93.11666666666667,16-18,58.5,34.616666666666674,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
Boston,Jul,78.59666666666666,16-18,58.5,20.096666666666664,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
Boston,Jun,83.10666666666667,16-18,58.5,24.60666666666667,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
Boston,Mar,98.17666666666666,16-18,58.5,39.67666666666666,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
Boston,May,85.48666666666666,16-18,58.5,26.986666666666665,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
Boston,Nov,101.26666666666667,16-18,58.5,42.766666666666666,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
Boston,Oct,87.31,16-18,58.5,28.810000000000002,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
Boston,Sep,81.53,16-18,58.5,23.03,FY20,FY20 Actuals,TRUE,110.18333333333334,51.68333333333334
Braintree,Apr,10.153333333333334,16-18,3.2,6.953333333333334,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
Braintree,Aug,4.236666666666666,16-18,3.2,1.0366666666666662,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
Braintree,Dec,6.746666666666666,16-18,3.2,3.546666666666666,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
Braintree,Feb,9.083333333333332,16-18,3.2,5.883333333333332,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
Braintree,Jan,8.256666666666668,16-18,3.2,5.0566666666666675,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
Braintree,Jul,4.6433333333333335,16-18,3.2,1.4433333333333334,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
Braintree,Jun,5.8966666666666665,16-18,3.2,2.6966666666666663,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
Braintree,Mar,9.496666666666666,16-18,3.2,6.296666666666666,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
Braintree,May,7.296666666666667,16-18,3.2,4.096666666666667,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
Braintree,Nov,8.233333333333334,16-18,3.2,5.033333333333334,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
Braintree,Oct,5.446666666666666,16-18,3.2,2.246666666666666,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
Braintree,Sep,4.49,16-18,3.2,1.29,FY20,FY20 Actuals,TRUE,10.153333333333334,6.953333333333334
