community,month,monthlyav,year,Sani_Q,II_Q,FY,CY20_meth,actual
Everett,Feb,6.640000000000001,18-20,3.2,3.4400000000000004,FY22,3yr ave (2019x2),FALSE
Everett,Jan,6.598888888888889,18-20,3.2,3.398888888888889,FY22,3yr ave (2019x2),FALSE
Everett,Jul,5.71,18-20,3.2,2.51,FY22,3yr ave (2019x2),FALSE
Everett,Jun,5.36,18-20,3.2,2.16,FY22,3yr ave (2019x2),FALSE
Everett,Mar,7.050000000000001,18-20,3.2,3.8500000000000005,FY22,3yr ave (2019x2),FALSE
Everett,May,5.984444444444445,18-20,3.2,2.7844444444444445,FY22,3yr ave (2019x2),FALSE
Everett,Nov,6.873333333333334,18-20,3.2,3.673333333333334,FY22,3yr ave (2019x2),FALSE
Everett,Oct,5.642222222222222,18-20,3.2,2.442222222222222,FY22,3yr ave (2019x2),FALSE
Everett,Sep,5.463333333333334,18-20,3.2,2.2633333333333336,FY22,3yr ave (2019x2),FALSE
Framingham,Apr,9.475555555555555,18-20,4.8,4.6755555555555555,FY22,3yr ave (2019x2),FALSE
Framingham,Aug,5.782222222222222,18-20,4.8,0.9822222222222221,FY22,3yr ave (2019x2),FALSE
Framingham,Dec,7.937777777777778,18-20,4.8,3.137777777777778,FY22,3yr ave (2019x2),FALSE
Framingham,Feb,8.392222222222223,18-20,4.8,3.5922222222222233,FY22,3yr ave (2019x2),FALSE
Framingham,Jan,7.884444444444444,18-20,4.8,3.0844444444444443,FY22,3yr ave (2019x2),FALSE
Framingham,Jul,5.9944444444444445,18-20,4.8,1.1944444444444446,FY22,3yr ave (2019x2),FALSE
Framingham,Jun,6.195555555555555,18-20,4.8,1.3955555555555552,FY22,3yr ave (2019x2),FALSE
Framingham,Mar,9.133333333333333,18-20,4.8,4.333333333333333,FY22,3yr ave (2019x2),FALSE
Framingham,May,7.873333333333333,18-20,4.8,3.0733333333333333,FY22,3yr ave (2019x2),FALSE
Framingham,Nov,8.053333333333333,18-20,4.8,3.253333333333333,FY22,3yr ave (2019x2),FALSE
Framingham,Oct,6.141111111111111,18-20,4.8,1.3411111111111111,FY22,3yr ave (2019x2),FALSE
Framingham,Sep,5.8933333333333335,18-20,4.7,1.1933333333333334,FY22,3yr ave (2019x2),FALSE
Hingham,Apr,1.97,18-20,0.5,1.47,FY22,3yr ave (2019x2),FALSE
Hingham,Aug,0.8222222222222222,18-20,0.5,0.3222222222222222,FY22,3yr ave (2019x2),FALSE
Hingham,Dec,1.8666666666666667,18-20,0.5,1.3666666666666667,FY22,3yr ave (2019x2),FALSE
Hingham,Feb,1.787777777777778,18-20,0.5,1.287777777777778,FY22,3yr ave (2019x2),FALSE
Hingham,Jan,1.7844444444444443,18-20,0.5,1.2844444444444443,FY22,3yr ave (2019x2),FALSE
Hingham,Jul,1.0255555555555556,18-20,0.5,0.5255555555555556,FY22,3yr ave (2019x2),FALSE
Hingham,Jun,1.1188888888888888,18-20,0.5,0.6188888888888888,FY22,3yr ave (2019x2),FALSE
Hingham,Mar,2.171111111111111,18-20,0.5,1.6711111111111112,FY22,3yr ave (2019x2),FALSE
Hingham,May,1.5122222222222221,18-20,0.5,1.0122222222222221,FY22,3yr ave (2019x2),FALSE
Hingham,Nov,1.9533333333333334,18-20,0.5,1.4533333333333334,FY22,3yr ave (2019x2),FALSE
Hingham,Oct,1.1,18-20,0.5,0.6000000000000001,FY22,3yr ave (2019x2),FALSE
