community,Sani_Q,II_Q,Assessment,max_month,max_MGD,FY,actual
Stoughton,NA,NA,3.263611111111111,Apr,4.713333333333333,FY21,TRUE
Wakefield,NA,NA,4.546666666666667,Apr,7,FY21,TRUE
Walpole,NA,NA,2.2530555555555556,Apr,2.933333333333333,FY21,TRUE
Waltham,NA,NA,9.409166666666668,Apr,12.58,FY21,TRUE
Watertown,NA,NA,3.6547222222222224,Apr,5.07,FY21,TRUE
Wellesley,NA,NA,3.540277777777778,Apr,5.46,FY21,TRUE
Westwood,NA,NA,1.8763888888888889,Apr,2.61,FY21,TRUE
Weymouth,NA,NA,9.189722222222223,Apr,12.4,FY21,TRUE
Wilmington,NA,NA,1.5238888888888888,Apr,1.88,FY21,TRUE
Winchester,NA,NA,2.5008333333333335,Apr,3.9333333333333336,FY21,TRUE
Winthrop,NA,NA,2.3080555555555557,Apr,2.736666666666667,FY21,TRUE
Woburn,NA,NA,6.6386111111111115,Apr,8.9,FY21,TRUE
Arlington,2.5,2.4380555555555556,4.938055555555556,Apr,7.872222222222223,FY21,FALSE
Ashland,0.8,0.5413888888888889,1.341388888888889,Apr,1.718888888888889,FY21,FALSE
Bedford,1.3,1.2973148148148146,2.5973148148148146,Apr,3.861111111111111,FY21,FALSE
Belmont,1.4,1.6410185185185184,3.0410185185185186,Apr,5.157777777777778,FY21,FALSE
Boston,58.5,33.69935185185185,92.19935185185186,Apr,115.47777777777779,FY21,FALSE
Braintree,3.2,4.098055555555555,7.298055555555555,Apr,10.601111111111111,FY21,FALSE
Brookline,4.2,4.258796296296296,8.458796296296295,Apr,12.95111111111111,FY21,FALSE
Burlington,2,1.6658333333333335,3.6658333333333335,Apr,5.36,FY21,FALSE
Cambridge,11.5,6.793333333333333,18.293333333333333,Apr,21.874444444444443,FY21,FALSE
Canton,1.4,1.7770370370370372,3.177037037037037,Apr,4.2877777777777775,FY21,FALSE
Chelsea,3,2.5271296296296297,5.52712962962963,Apr,6.896666666666667,FY21,FALSE
Dedham,1.8,2.1646296296296295,3.9646296296296297,Apr,6.164444444444444,FY21,FALSE
Everett,3.2,2.583425925925926,5.783425925925926,Apr,7.073333333333334,FY21,FALSE
Framingham,4.7972222222222225,2.7100925925925927,7.507314814814815,Apr,9.9655555555555555,FY21,FALSE
Hingham,0.5,0.8991666666666667,1.3991666666666667,Apr,2.008888888888889,FY21,FALSE
Holbrook,0.5,0.4348148148148148,0.9348148148148148,Mar,1.2044444444444444,FY21,FALSE
Lexington,2.2,3.040648148148148,5.240648148148148,Apr,8.475555555555557,FY21,FALSE
Malden,4.9,4.106388888888889,9.006388888888889,Apr,11.79888888888889,FY21,FALSE
Medford,4.2,3.613796296296296,7.813796296296297,Apr,11.852222222222222,FY21,FALSE
Melrose,1.8,2.6812962962962965,4.481296296296296,Apr,7.188888888888888,FY21,FALSE
Milton,1.4,2.0835185185185185,3.4835185185185185,Apr,5.602222222222222,FY21,FALSE
Natick,1.8,1.1121296296296295,2.9121296296296295,Apr,4.1,FY21,FALSE
Needham,1.9,1.9876851851851853,3.8876851851851852,Apr,6.091111111111111,FY21,FALSE
Newton,7.8,7.406944444444444,15.206944444444444,Apr,24.66777777777778,FY21,FALSE
Norwood,2.4,3.9128703703703702,6.31287037037037,Apr,9.135555555555555,FY21,FALSE
Quincy,8.2,5.580648148148149,13.780648148148147,Apr,18.108888888888888,FY21,FALSE
Randolph,1.9,2.075740740740741,3.975740740740741,Mar,5.683333333333334,FY21,FALSE
Reading,1.3,1.8966666666666667,3.1966666666666668,Apr,5.047777777777778,FY21,FALSE
Revere,3.5,2.967962962962963,6.467962962962964,Apr,8.266666666666667,FY21,FALSE
Somerville,5.5,5.286111111111111,10.786111111111111,Apr,15.473333333333333,FY21,FALSE
Stoneham,1.4,1.7080555555555557,3.1080555555555556,Apr,4.648888888888889,FY21,FALSE
Stoughton,1.4,1.873425925925926,3.2734259259259257,Apr,4.862222222222222,FY21,FALSE
Wakefield,1.5,2.940277777777778,4.440277777777778,Apr,7.273333333333333,FY21,FALSE
Walpole,1.2,0.9932407407407409,2.1932407407407406,Apr,2.9366666666666665,FY21,FALSE
Waltham,5.6,3.6120370370370374,9.212037037037037,Apr,12.475555555555555,FY21,FALSE
Watertown,2.2,1.4199074074074072,3.6199074074074074,Apr,5.214444444444444,FY21,FALSE
Wellesley,1.7,1.7337037037037037,3.4337037037037037,Apr,5.536666666666667,FY21,FALSE
Westwood,0.9,0.9728703703703704,1.8728703703703704,Apr,2.6433333333333335,FY21,FALSE
Weymouth,3.7,5.333240740740741,9.033240740740741,Apr,12.543333333333333,FY21,FALSE
Wilmington,0.8,0.6764814814814815,1.4764814814814815,Apr,1.913333333333333,FY21,FALSE
Winchester,1.1,1.3505555555555555,2.4505555555555554,Apr,4.0311111111111115,FY21,FALSE
Winthrop,1.1,1.1333333333333333,2.2333333333333334,Apr,2.788888888888889,FY21,FALSE
Woburn,3.7,2.75287037037037,6.452870370370371,Apr,9.124444444444444,FY21,FALSE
